id,name,type,parentId
1,中国,1,0
110000,北京市,2,1
110100,北京市,3,110000
110101,东城区,4,110100
110102,西城区,4,110100
110105,朝阳区,4,110100
110106,丰台区,4,110100
110107,石景山区,4,110100
110108,海淀区,4,110100
110109,门头沟区,4,110100
110111,房山区,4,110100
110112,通州区,4,110100
110113,顺义区,4,110100
110114,昌平区,4,110100
110115,大兴区,4,110100
110116,怀柔区,4,110100
110117,平谷区,4,110100
110118,密云区,4,110100
110119,延庆区,4,110100
120000,天津市,2,1
120100,天津市,3,120000
120101,和平区,4,120100
120102,河东区,4,120100
120103,河西区,4,120100
120104,南开区,4,120100
120105,河北区,4,120100
120106,红桥区,4,120100
120110,东丽区,4,120100
120111,西青区,4,120100
120112,津南区,4,120100
120113,北辰区,4,120100
120114,武清区,4,120100
120115,宝坻区,4,120100
120116,滨海新区,4,120100
120117,宁河区,4,120100
120118,静海区,4,120100
120119,蓟州区,4,120100
130000,河北省,2,1
130100,石家庄市,3,130000
130102,长安区,4,130100
130104,桥西区,4,130100
130105,新华区,4,130100
130107,井陉矿区,4,130100
130108,裕华区,4,130100
130109,藁城区,4,130100
130110,鹿泉区,4,130100
130111,栾城区,4,130100
130200,唐山市,3,130000
130300,秦皇岛市,3,130000
130400,邯郸市,3,130000
130500,邢台市,3,130000
130600,保定市,3,130000
130700,张家口市,3,130000
130800,承德市,3,130000
130900,沧州市,3,130000
131000,廊坊市,3,130000
131100,衡水市,3,130000
140000,山西省,2,1
140100,太原市,3,140000
140200,大同市,3,140000
140300,阳泉市,3,140000
140400,长治市,3,140000
140500,晋城市,3,140000
140600,朔州市,3,140000
140700,晋中市,3,140000
140800,运城市,3,140000
140900,忻州市,3,140000
141000,临汾市,3,140000
141100,吕梁市,3,140000
150000,内蒙古自治区,2,1
150100,呼和浩特市,3,150000
150200,包头市,3,150000
150300,乌海市,3,150000
150400,赤峰市,3,150000
150500,通辽市,3,150000
150600,鄂尔多斯市,3,150000
150700,呼伦贝尔市,3,150000
150800,巴彦淖尔市,3,150000
150900,乌兰察布市,3,150000
210000,辽宁省,2,1
210100,沈阳市,3,210000
210200,大连市,3,210000
210300,鞍山市,3,210000
210400,抚顺市,3,210000
210500,本溪市,3,210000
210600,丹东市,3,210000
210700,锦州市,3,210000
210800,营口市,3,210000
210900,阜新市,3,210000
211000,辽阳市,3,210000
211100,盘锦市,3,210000
211200,铁岭市,3,210000
211300,朝阳市,3,210000
